,Vancouver Coastal,Fraser
2020-03-03,3,1
2020-03-04,4,0
2020-03-05,0,3
2020-03-06,2,4
2020-03-07,1,0
2020-03-08,0,3
2020-03-09,3,1
2020-03-10,4,5
2020-03-11,11,8
2020-03-12,8,4
2020-03-13,16,4
2020-03-14,7,2
2020-03-15,19,3
2020-03-16,28,11
2020-03-17,25,11
2020-03-18,29,23
2020-03-19,24,12
2020-03-20,33,14
2020-03-21,35,3
2020-03-22,23,8
2020-03-23,28,56
2020-03-24,24,24
2020-03-25,43,26
2020-03-26,16,30
2020-03-27,27,22
2020-03-28,20,3
2020-03-29,22,2
2020-03-30,24,51
2020-03-31,16,16
2020-04-01,23,17
2020-04-02,19,28
2020-04-03,13,10
2020-04-04,14,3
2020-04-05,8,2
2020-04-06,22,26
2020-04-07,10,27
2020-04-08,11,20
2020-04-09,5,23
2020-04-10,13,23
2020-04-11,4,20
2020-04-12,3,11
2020-04-13,9,17
2020-04-14,12,19
2020-04-15,1,8
2020-04-16,10,39
2020-04-17,6,13
2020-04-18,8,13
2020-04-19,4,7
2020-04-20,7,18
2020-04-21,34,27
2020-04-22,11,13
2020-04-23,9,18
2020-04-24,11,58
2020-04-25,19,39
2020-04-26,1,9
2020-04-27,10,41
2020-04-28,5,33
2020-04-29,5,21
2020-04-30,8,14
2020-05-01,5,14
2020-05-02,8,22
2020-05-03,6,13
2020-05-04,2,12
2020-05-05,5,16
2020-05-06,7,20
2020-05-07,8,10
2020-05-08,2,11
2020-05-09,1,7
2020-05-10,1,11
2020-05-11,1,9
2020-05-12,3,9
2020-05-13,0,13
2020-05-14,0,14
2020-05-15,0,20
2020-05-16,3,4
2020-05-17,1,9
2020-05-18,2,3
2020-05-19,0,16
2020-05-20,0,8
2020-05-21,3,14
2020-05-22,2,9
2020-05-23,1,3
2020-05-24,1,6
2020-05-25,1,7
2020-05-26,0,6
2020-05-27,1,8
2020-05-28,1,4
2020-05-29,2,8
2020-05-30,0,9
2020-05-31,2,14
2020-06-01,0,4
2020-06-02,2,21
2020-06-03,0,2
2020-06-04,0,4
2020-06-05,0,12
2020-06-06,0,6
2020-06-07,0,9
2020-06-08,1,8
2020-06-09,4,9
2020-06-10,2,7
2020-06-11,5,10
2020-06-12,5,9
2020-06-13,3,10
2020-06-14,3,5
2020-06-15,4,7
2020-06-16,4,13
2020-06-17,3,4
2020-06-18,1,4
2020-06-19,1,6
2020-06-20,0,6
2020-06-21,1,15
2020-06-22,4,5
2020-06-23,1,11
2020-06-24,7,13
2020-06-25,2,10
2020-06-26,2,4
2020-06-27,4,9
2020-06-28,1,2
2020-06-29,2,9
2020-06-30,6,8
2020-07-01,2,7
2020-07-02,5,3
2020-07-03,3,7
2020-07-04,5,9
2020-07-05,5,2
2020-07-06,2,6
2020-07-07,6,12
2020-07-08,3,14
2020-07-09,5,14
2020-07-10,9,13
2020-07-11,9,12
2020-07-12,7,9
2020-07-13,3,6
2020-07-14,5,7
2020-07-15,8,7
2020-07-16,3,8
2020-07-17,7,17
2020-07-18,1,10
2020-07-19,1,10
2020-07-20,5,16
2020-07-21,6,13
2020-07-22,2,8
2020-07-23,8,13
2020-07-24,2,7
2020-07-25,3,12
2020-07-26,1,16
2020-07-27,2,15
2020-07-28,4,31
2020-07-29,3,20
2020-07-30,11,22
2020-07-31,19,27
2020-08-01,9,16
2020-08-02,6,36
2020-08-03,3,21
2020-08-04,13,23
2020-08-05,13,31
2020-08-06,18,23
2020-08-07,20,31
2020-08-08,17,19
2020-08-09,18,21
2020-08-10,13,26
2020-08-11,41,39
2020-08-12,29,40
2020-08-13,49,33
2020-08-14,25,68
2020-08-15,26,59
2020-08-16,22,26
2020-08-17,24,49
2020-08-18,35,19
2020-08-19,42,40
2020-08-20,48,39
2020-08-21,40,70
2020-08-22,25,50
2020-08-23,26,47
2020-08-24,26,23
2020-08-25,18,33
2020-08-26,35,21
2020-08-27,58,60
2020-08-28,39,49
2020-08-29,37,68
2020-08-30,40,42
2020-08-31,20,31
2020-09-01,49,40
2020-09-02,39,42
2020-09-03,63,45
2020-09-04,50,74
2020-09-05,55,63
2020-09-06,44,54
2020-09-07,36,47
2020-09-08,30,53
2020-09-09,70,70
2020-09-10,60,48
2020-09-11,82,65
2020-09-12,59,52
2020-09-13,39,37
2020-09-14,27,24
2020-09-15,60,51
2020-09-16,63,99
2020-09-17,63,74
2020-09-18,49,56
2020-09-19,36,68
2020-09-20,43,76
2020-09-21,48,43
2020-09-22,27,47
2020-09-23,62,61
2020-09-24,39,56
2020-09-25,50,17
2020-09-26,32,82
2020-09-27,46,46
2020-09-28,38,38
2020-09-29,49,64
2020-09-30,58,49
2020-10-01,49,80
2020-10-02,42,61
2020-10-03,45,53
2020-10-04,35,74
2020-10-05,30,58
2020-10-06,36,79
2020-10-07,49,54
2020-10-08,35,81
2020-10-09,55,106
2020-10-10,48,102
2020-10-11,32,79
2020-10-12,38,59
2020-10-13,40,101
2020-10-14,36,102
2020-10-15,51,86
2020-10-16,43,117
2020-10-17,28,119
2020-10-18,45,122
2020-10-19,33,120
2020-10-20,35,150
2020-10-21,51,209
2020-10-22,61,139
2020-10-23,52,232
2020-10-24,33,252
2020-10-25,28,179
2020-10-26,38,145
2020-10-27,58,187
2020-10-28,53,176
2020-10-29,82,183
2020-10-30,81,241
2020-10-31,88,283
2020-11-01,60,305
2020-11-02,89,184
2020-11-03,110,204
2020-11-04,142,271
2020-11-05,128,403
2020-11-06,127,406
2020-11-07,102,403
2020-11-08,100,347
2020-11-09,137,321
2020-11-10,125,398
2020-11-11,149,403
2020-11-12,122,454
2020-11-13,142,464
2020-11-14,196,427
2020-11-15,121,436
2020-11-16,172,489
2020-11-17,171,486
2020-11-18,206,307
2020-11-19,152,298
2020-11-20,180,482
2020-11-21,98,466
2020-11-22,143,352
2020-11-23,179,675
2020-11-24,167,662
2020-11-25,144,667
2020-11-26,150,651
2020-11-27,164,479
2020-11-28,116,497
2020-11-29,119,391
2020-11-30,133,404
2020-12-01,152,538
2020-12-02,130,463
2020-12-03,141,430